YEAR,ACILIA,ACQUA ACETOSA,ALATRI,ALLUMIERE,CAMPOLI APPENNINO,LEONESSA,GAETA,SABAUDIA
2003,448.6,515.8,1067.8,706.2,1152.8,1084.8,,318.6
2004,678.8,879.6,1391.4,1167.6,1370.6,1574.8,,358.6
2005,986.2,949.2,1294.0,1243.8,1376.8,1572.0,,752.6
2006,497.0,560.4,960.0,839.4,931.0,832.6,,613.1
2007,425.4,479.2,730.8,596.8,809.2,951.4,,582.4
2008,1072.2,1172.6,1342.8,1213.2,1704.4,1762.2,,900.8
2009,797.4,639.0,1290.2,1036.2,1557.4,1288.8,,994.8
2010,877.0,870.0,1458.4,1303.4,1776.0,2032.4,,990.2
2011,648.6,426.6,1084.4,718.0,1055.2,940.0,,665.6
2012,239.4,251.8,1233.2,398.1,1260.2,1240.4,1040.6,881.2
2013,404.6,538.6,1449.1,,1529.9,1716.7,1126.3,1002.3
2014,1132.2,1105.2,1271.7,711.9,1429.2,1414.9,1099.6,1035.4
2015,724.2,830.6,967.7,971.6,1000.7,1005.0,987.9,785.9
2016,667.6,681.2,931.0,843.0,1115.4,1474.2,799.5,743.3
2017,605.4,515.2,824.3,486.8,1012.0,1503.4,570.4,389.2
